# t K U E
0.541 9.40901 61.7177 71.1267
0.542 9.43537 61.6913 71.1267
0.543 9.46172 61.665 71.1267
0.544 9.48809 61.6386 71.1267
0.545 9.51446 61.6122 71.1267
0.546 9.54084 61.5859 71.1267
0.547 9.56723 61.5595 71.1267
0.548 9.59363 61.5331 71.1267
0.549 9.62003 61.5067 71.1267
0.55 9.64644 61.4803 71.1267
0.551 9.67286 61.4538 71.1267
0.552 9.69929 61.4274 71.1267
0.553 9.72573 61.401 71.1267
0.554 9.75217 61.3745 71.1267
0.555 9.77863 61.3481 71.1267
0.556 9.80509 61.3216 71.1267
0.557 9.83156 61.2951 71.1267
0.558 9.85805 61.2687 71.1267
0.559 9.88454 61.2422 71.1267
0.56 9.91104 61.2157 71.1267
0.561 9.93755 61.1892 71.1267
0.562 9.96408 61.1626 71.1267
0.563 9.99061 61.1361 71.1267
0.564 10.0172 61.1096 71.1267
0.565 10.0437 61.083 71.1267
0.566 10.0703 61.0564 71.1267
0.567 10.0969 61.0298 71.1267
0.568 10.1235 61.0033 71.1267
0.569 10.1501 60.9766 71.1267
0.57 10.1767 60.95 71.1267
0.571 10.2033 60.9234 71.1267
0.572 10.23 60.8968 71.1267
0.573 10.2566 60.8701 71.1267
0.574 10.2833 60.8434 71.1267
0.575 10.31 60.8167 71.1267
0.576 10.3367 60.79 71.1267
0.577 10.3634 60.7633 71.1267
0.578 10.3901 60.7366 71.1267
0.579 10.4169 60.7099 71.1267
0.58 10.4436 60.6831 71.1267
0.581 10.4704 60.6563 71.1267
0.582 10.4972 60.6295 71.1267
0.583 10.524 60.6027 71.1267
0.584 10.5508 60.5759 71.1267
0.585 10.5777 60.549 71.1267
0.586 10.6045 60.5222 71.1267
0.587 10.6314 60.4953 71.1267
0.588 10.6583 60.4684 71.1267
0.589 10.6852 60.4415 71.1267
0.59 10.7122 60.4145 71.1267
0.591 10.7391 60.3876 71.1267
0.592 10.7661 60.3606 71.1267
0.593 10.7931 60.3336 71.1267
0.594 10.8201 60.3066 71.1267
0.595 10.8472 60.2795 71.1267
0.596 10.8742 60.2525 71.1267
0.597 10.9013 60.2254 71.1267
0.598 10.9284 60.1983 71.1267
0.599 10.9556 60.1712 71.1267
0.6 10.9827 60.144 71.1267
0.601 11.0099 60.1168 71.1267
0.602 11.0371 60.0896 71.1267
0.603 11.0643 60.0624 71.1267
0.604 11.0916 60.0351 71.1267
0.605 11.1189 60.0079 71.1267
0.606 11.1462 59.9806 71.1267
0.607 11.1735 59.9532 71.1267
0.608 11.2009 59.9259 71.1267
0.609 11.2282 59.8985 71.1267
0.61 11.2557 59.8711 71.1267
0.611 11.2831 59.8436 71.1267
0.612 11.3106 59.8161 71.1267
0.613 11.3381 59.7886 71.1267
0.614 11.3656 59.7611 71.1267
0.615 11.3932 59.7335 71.1267
0.616 11.4208 59.706 71.1267
0.617 11.4484 59.6783 71.1267
0.618 11.476 59.6507 71.1267
0.619 11.5037 59.623 71.1267
0.62 11.5315 59.5953 71.1267
0.621 11.5592 59.5675 71.1267
0.622 11.587 59.5397 71.1267
0.623 11.6148 59.5119 71.1267
0.624 11.6427 59.484 71.1267
0.625 11.6706 59.4561 71.1267
0.626 11.6985 59.4282 71.1267
